energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,code,score
413.0,3.4,0.7,0.0022140221402214,0.0155755755755755,7.9,2.7,1.0,8.5,0.8,0.31496062992126,0.0001636008510638,0.0343794871794871,0.1254064748201439,0.00569375,-2.0,3021690024074,4
514.0,5.1,1.7,0.0022232472324723,0.0155555555555555,9.9,1.9,3.9,7.4,0.84,0.330708661417323,0.0001636250212765,0.0342594017094017,0.1254712230215827,0.005721875,-4.0,3021690025033,4
503.0,6.0,2.1,0.0022278597785977,0.0155455455455455,8.7,2.0,2.6,6.6,0.75,0.295275590551181,0.0001636371063829,0.0341993589743589,0.1255035971223021,0.0057359375,-1.0,3021690025040,4
621.0,2.8,0.1,0.0022416974169741,0.0155155155155155,21.0,2.7,2.2,8.4,0.81,0.318897637795276,0.0001636733617021,0.0340192307692307,0.1256007194244604,0.005778125,-4.0,3021690026429,4
512.0,5.0,1.9,0.002250922509225,0.0154954954954954,8.6,1.5,4.0,8.9,0.8,0.31496062992126,0.0001636975319148,0.0338991452991453,0.1256654676258992,0.00580625,-5.0,3021690101232,4
516.0,5.0,1.9,0.0022555350553505,0.0154854854854854,8.6,1.5,4.0,8.9,0.8,0.31496062992126,0.0001637096170212,0.0338391025641025,0.1256978417266187,0.0058203125,-5.0,3021690101249,4
393.0,2.3,0.8,0.002260147601476,0.0154754754754754,7.8,1.3,4.0,8.4,0.7874,0.31,0.0001637217021276,0.0337790598290598,0.1257302158273381,0.005834375,-6.0,3021690102567,4
497.0,5.2,2.0,0.0022693726937269,0.0154554554554554,6.9,0.5,2.1,10.0,0.91,0.358267716535433,0.0001637458723404,0.0336589743589743,0.125794964028777,0.0058625,-2.0,3021690103151,4
278.0,0.6,0.5,0.0022924354243542,0.0154054054054054,13.5,11.9,4.254545454545455,0.5,0.01,0.0039370078740157,0.0001638062978723,0.0333587606837606,0.1259568345323741,0.0059328125,-3.0,3021760285213,4
275.0,0.6,0.5,0.0023016605166051,0.0153853853853853,12.7,11.5,3.309090909090909,0.5,0.0100076,0.00394,0.0001638304680851,0.0332386752136752,0.1260215827338129,0.0059609375,-3.0,3021760285244,4
243.0,0.5,0.5,0.002310885608856,0.0153653653653653,11.8,11.2,2.363636363636364,0.5,0.01,0.0039370078740157,0.0001638546382978,0.0331185897435897,0.1260863309352518,0.0059890625,-3.0,3021760285305,4
370.0,0.5,0.5,0.0023154981549815,0.0153553553553553,18.6,17.8,1.890909090909091,0.7,0.01,0.0039370078740157,0.0001638667234042,0.033058547008547,0.1261187050359712,0.006003125,-1.0,3021760286760,4
284.0,0.5,0.5,0.002320110701107,0.0153453453453453,14.2,13.2,1.4181818181818184,0.8,0.01,0.0039370078740157,0.0001638788085106,0.0329985042735042,0.1261510791366906,0.0060171875,-3.0,3021760286838,4
289.0,0.5,0.5,0.0023247232472324,0.0153353353353353,14.7,13.9,0.9454545454545452,0.5,0.01,0.0039370078740157,0.000163890893617,0.0329384615384615,0.12618345323741,0.00603125,-2.0,3021760287033,4
293.0,0.55,0.49,0.0023385608856088,0.0153053053053053,14.4,13.4,0.1714285714285714,0.49,0.009,0.0035433070866141,0.0001639271489361,0.0327583333333333,0.1262805755395683,0.0060734375,-3.0,3021760287446,4
289.0,0.6,0.5,0.0023431734317343,0.0152952952952952,14.8,13.7,0.3428571428571428,0.5,0.01,0.0039370078740157,0.0001639392340425,0.0326982905982906,0.1263129496402877,0.0060875,-2.0,3021760287712,4
267.0,0.7,0.5,0.0023570110701107,0.0152652652652652,12.4,11.3,0.8571428571428572,0.5,0.01,0.0039370078740157,0.0001639754893617,0.0325181623931623,0.126410071942446,0.0061296875,-3.0,3021760287927,4
293.0,0.5,0.5,0.0023616236162361,0.0152552552552552,14.2,13.3,1.0285714285714285,0.5,0.01,0.0039370078740157,0.000163987574468,0.0324581196581196,0.1264424460431654,0.00614375,-3.0,3021760288115,4
290.0,0.5,0.2,0.0023662361623616,0.0152452452452452,14.9,14.1,1.2,0.4,0.00762,0.003,0.0001639996595744,0.0323980769230769,0.1264748201438849,0.0061578125,-3.0,3021760400036,4
